Name,Date,Invoice_Number,Memo,Item,Qty,Sales_Price,Description
Company A,12/27/2022,17250.0,TBC Shipping,FREIGHT,1.0,150.0,
Company B,6/24/2022,17005.0,,XEROX,1.0,100.0,
Company B,7/7/2022,17017.0,,XEROX,1.0,100.0,
Company B,7/7/2022,17017.0,,XEROX,1.0,100.0,
Company                  C,3/16/2021,16259.0,flat panel cover,TOSHIBA,1.0,50.0,
Company                  C,3/16/2021,16259.0,ups ground,FREIGHT,1.0,17.42,
Company                  C,3/16/2021,16259.0,2%,Credit Card Fee,1.0,1.35,
Company  D,10/27/2020,16035.0,TBC Shipping,FREIGHT,1.0,100.0,
Company  D,10/27/2020,16035.0,2% credit card fee,Credit Card Fee,1.0,23.9,
Company  D,11/18/2020,16093.0,tbc shipping,FREIGHT,1.0,50.0,
Company  D,7/21/2021,16440.0,tbc shipping,FREIGHT,1.0,150.0,
Company  D,1/26/2022,16766.0,TBC Shipping,FREIGHT,1.0,150.0,
Company  D,1/26/2022,16766.0,2% credit card fee,Credit Card Fee,1.0,19.0,
Company  E,3/7/2023,17345.0,VIN-1HTMMMML3JH547027,PACKAGE  Inv,1.0,14000.0,
Company  F,12/20/2021,16698.0,Moe Transportation,FREIGHT,1.0,360.0,
Company  F,12/20/2021,16698.0,2% CREDIT CARD FEE,Credit Card Fee,1.0,67.2,
Company  G,11/1/2022,17167.0,TBC Shipping,FREIGHT,0.0,0.0,
Company  H,10/16/2020,16007.0,Credit trade in 1 Ricoh MP8001 and 1 MP6002  PO 4004,CREDIT,1.0,-2000.0,
Company  H,5/11/2021,16335.0,PACKAGE,PACKAGE,1.0,800.0,
Company  I,1/27/2022,16769.0,part machines,KONICA MINOLTA,4.0,300.0,
Company  I,2/9/2022,16800.0,,XEROX,6.0,0.0,
Company  I,2/9/2022,16800.0,,XEROX,7.0,0.0,
Company  I,2/9/2022,16800.0,,XEROX,16.0,0.0,
Company  I,2/9/2022,16800.0,,PACKAGE  Inv,1.0,3000.0,
Company  I,4/8/2022,16907.0,Parts missing,XEROX,2.0,375.0,
Company  I,4/8/2022,16907.0,No Fiery/ No FIN/ No LCT,XEROX,2.0,1600.0,
Company  I,4/8/2022,16907.0,NEW PARTS MACHINE,CANON,1.0,1640.0,
Company  I,4/8/2022,16907.0,NEW PARTS MACHINE,CANON,1.0,820.0,
Company  I,4/8/2022,16907.0,NEW PARTS MACHINE,KONICA MINOLTA,1.0,2040.0,
Company  I,11/15/2022,17203.0,Brand new parts machine no RADF,KONICA MINOLTA,4.0,600.0,
Company  I,11/15/2022,17203.0,Brand new parts machine with radf,KONICA MINOLTA,1.0,800.0,
Company  I,11/15/2022,17203.0,FIN/LCT no fiery,XEROX,1.0,1500.0,
Company  I,11/15/2022,17203.0,,XEROX,1.0,700.0,
Company  I,11/15/2022,17203.0,2% credit card fee,Credit Card Fee,1.0,21.0,
Company  I,3/8/2024,17801.0,,XEROX,1.0,600.0,
Company  I,3/8/2024,17801.0,,KONICA MINOLTA,1.0,400.0,
Company  I,3/8/2024,17801.0,,KONICA MINOLTA,1.0,400.0,
Company  I,3/8/2024,17801.0,,KONICA MINOLTA,1.0,400.0,
Company  I,3/8/2024,17801.0,,CANON,1.0,300.0,
Company  I,3/8/2024,17801.0,TAG 37329,CANON,1.0,600.0,
Company  I,6/11/2024,17892.0,Freight JML - shipped 7/2/2024,FREIGHT,1.0,550.0,
DMTM Inc,6/23/2022,17003.0,TTR Shipping,FREIGHT,1.0,349.0,
DN PRINTER SOLUTIONS,10/25/2021,16602.0,,HP,48.0,35.0,
DN PRINTER SOLUTIONS,12/27/2021,16710.0,HP Package (see attached),PACKAGE  Inv,1.0,9355.0,
DN PRINTER SOLUTIONS,12/31/2021,16736.0,Adjustment to remove old credit balance from QB,ADJUSTMENT,1.0,150.0,
DN PRINTER SOLUTIONS,5/17/2022,16952.0,Printer Package,PACKAGE  Inv,1.0,6650.0,
DN PRINTER SOLUTIONS,7/6/2022,17016.0,per attached list,PACKAGE  Inv,1.0,2145.0,
DN PRINTER SOLUTIONS,12/1/2022,17213.0,Package HP,PACKAGE  Inv,1.0,3200.0,
Document Solutions,9/16/2020,15933.0,moe Shipping,FREIGHT,1.0,,
